| Puzzle     | Elapsed Time (s)     | CPU Time (s)         | Peak Memory Usage (MB)    |
| 181        | 0.033082             | 0.000000             | 4.390625                  |
| 182        | 0.034086             | 0.015625             | 4.390625                  |
| 183        | 0.031567             | 0.000000             | 4.390625                  |
| 184        | 0.033809             | 0.000000             | 4.390625                  |
| 185        | 0.033964             | 0.015625             | 4.390625                  |
| 186        | 0.034148             | 0.000000             | 4.390625                  |
| 187        | 0.031516             | 0.015625             | 4.390625                  |
| 188        | 0.032713             | 0.000000             | 4.390625                  |
| 189        | 0.032695             | 0.000000             | 4.390625                  |
| 190        | 0.034376             | 0.015625             | 4.390625                  |
| 191        | 0.034082             | 0.000000             | 4.390625                  |
| 192        | 0.033681             | 0.000000             | 4.390625                  |
| 193        | 0.033316             | 0.000000             | 4.390625                  |
| 194        | 0.033802             | 0.000000             | 4.390625                  |
| 195        | 0.034444             | 0.000000             | 4.390625                  |
| 196        | 0.032542             | 0.015625             | 4.390625                  |
| 197        | 0.032011             | 0.031250             | 4.390625                  |
| 198        | 0.033124             | 0.000000             | 4.390625                  |
| 199        | 0.034660             | 0.000000             | 4.390625                  |
| 200        | 0.033821             | 0.000000             | 4.390625                  |
| 201        | 0.033058             | 0.000000             | 4.390625                  |
| 202        | 0.032351             | 0.000000             | 4.390625                  |
| 203        | 0.033407             | 0.000000             | 4.390625                  |
| 204        | 0.034601             | 0.000000             | 4.390625                  |
| 205        | 0.033488             | 0.015625             | 4.390625                  |
| 206        | 0.076348             | 0.031250             | 4.390625                  |
| 207        | 0.032331             | 0.015625             | 4.390625                  |
| 208        | 0.034310             | 0.000000             | 4.390625                  |
| 209        | 0.036513             | 0.000000             | 4.390625                  |
| 210        | 0.032696             | 0.000000             | 4.390625                  |
| 211        | 0.034066             | 0.015625             | 4.390625                  |
| 212        | 0.033647             | 0.000000             | 4.390625                  |
| 213        | 0.033046             | 0.000000             | 4.390625                  |
| 214        | 0.033254             | 0.015625             | 4.390625                  |
| 215        | 0.035599             | 0.000000             | 4.390625                  |
| 216        | 0.034058             | 0.000000             | 4.390625                  |
| 217        | 0.032946             | 0.015625             | 4.390625                  |
| 218        | 0.032131             | 0.000000             | 4.390625                  |
| 219        | 0.032572             | 0.000000             | 4.390625                  |
| 220        | 0.032706             | 0.015625             | 4.390625                  |
| 221        | 0.032456             | 0.015625             | 4.390625                  |
| 222        | 0.031828             | 0.000000             | 4.390625                  |
| 223        | 0.034771             | 0.000000             | 4.390625                  |
| 224        | 0.033104             | 0.000000             | 4.390625                  |
| 225        | 0.032857             | 0.031250             | 4.390625                  |
| 226        | 0.033670             | 0.015625             | 4.390625                  |
| 227        | 0.034043             | 0.015625             | 4.390625                  |
| 228        | 0.032981             | 0.000000             | 4.390625                  |
| 229        | 0.038758             | 0.015625             | 4.390625                  |
| 230        | 0.030239             | 0.000000             | 4.390625                  |
| 231        | 0.035551             | 0.000000             | 4.390625                  |
| 232        | 0.033392             | 0.000000             | 4.390625                  |
| 233        | 0.035397             | 0.015625             | 4.390625                  |
| 234        | 0.031628             | 0.015625             | 4.390625                  |
| 235        | 0.033884             | 0.015625             | 4.390625                  |
| 236        | 0.035710             | 0.000000             | 4.390625                  |
| 237        | 0.032495             | 0.000000             | 4.390625                  |
